date,timepoint,tank,crab-ID,trial-1,trial-2,trial-3,sex,integument-color,weight,missing-non-sampled,missing-swimmer,carapace-width,carapace-length,notes
7/30/24,0,1,NH-66,3.81,7.96,76.5,M,Y,89.52,N,N,73,55,
7/30/24,0,1,NH-67,3,1.53,1.84,M,Y,72.24,N,N,68,51,
7/30/24,0,1,NH-68,4.59,3.62,4.44,F,O,69.39,N,N,68,52,
7/30/24,0,1,NH-69,1.68,2.22,2.22,M,Y,56.54,L1,Y,64,48,L5
7/30/24,0,1,NH-70,2.41,2.84,1.56,F,O,70.37,N,N,68,51,
7/30/24,0,1,NH-71,3.22,5.56,87.34,M,Y,74.78,N,Y,68,52,R5
7/30/24,0,1,NH-72,1.03,1.38,2.6,M,YG,100,N,N,80,61,
7/30/24,0,2,NH-73,2.28,2.41,2.66,M,YG,74.7,N,N,68,52,
7/30/24,0,2,NH-74,3.19,3.34,4.28,M,YG,60.65,R2,N,66,48,
7/30/24,0,2,NH-75,1.69,2.78,2.25,M,Y,99.19,R3,Y,75,57,"RIGHT SIDE CARAPACE INJURY; SAMPLE L3, R5"
7/30/24,0,2,NH-76,3.66,6.25,6.53,M,O,100,N,N,78,59,
7/30/24,0,2,NH-77,0.72,1.35,1.81,F,O,64.8,N,N,67,50,
7/30/24,0,2,NH-78,1.15,1.18,1.19,M,Y,31.53,R1,N,52,39,
7/30/24,0,2,NH-79,1.15,1.72,2.12,M,YO,95.43,N,N,76,57,
7/30/24,0,2,NH-80,1,0.78,1.09,F,O,39.68,R2,N,57,43,SAMPLE L3
7/31/24,22,1,NH-66,2.59,6.87,51.79,M,Y,89.52,N,N,73,55,
7/31/24,22,1,NH-67,0.91,90,1,M,Y,72.24,N,N,68,51,
7/31/24,22,1,NH-68,1.44,2.16,1.94,F,O,69.39,N,N,68,52,
7/31/24,22,1,NH-69,2.65,2.66,2.16,M,Y,56.54,L1,Y,64,48,L5
7/31/24,22,1,NH-70,1.94,3.47,2,F,O,70.37,N,N,68,51,
7/31/24,22,1,NH-71,1.84,2.84,2,M,Y,74.78,N,Y,68,52,R5
7/31/24,22,1,NH-72,2.07,2.16,23.82,M,YG,100,N,N,80,61,
7/31/24,22,2,NH-73,1.43,1.54,0.82,M,YG,74.7,N,N,68,52,
7/31/24,22,2,NH-74,1.69,3.04,3.56,M,YG,60.65,R2,N,66,48,
7/31/24,22,2,NH-75,1.93,2.59,2.03,M,Y,99.19,R3,Y,75,57,"L3 Sampled, R5"
7/31/24,22,2,NH-76,91,91,91,M,O,100,N,N,78,59,
7/31/24,22,2,NH-77,1.12,1.53,1.78,F,O,64.8,N,N,67,50,
7/31/24,22,2,NH-78,0.97,1.38,1.78,M,Y,31.53,R1,N,52,39,
7/31/24,22,2,NH-79,1.5,2.47,2.56,M,YO,95.43,N,N,76,57,
7/31/24,22,2,NH-80,45.53,2.31,2.09,F,O,39.68,R2,N,57,43,SAMPLE L3